fold	checkpoint	exists	size_bytes	sha256
0	checkpoint_best.pth	True	246033779	d651ee485331db5f230bf6e343bea17e0c10d0e029521763cddbf1d15fe7051f
0	checkpoint_final.pth	True	246077839	a6ffd59133dab84608e398d6beaae5da9899299edf8e4ca7beb032b1c29877c3
1	checkpoint_best.pth	True	245963123	769a19d7ee7e4af4d224eb1dfe3749fd6018e9f2e853cb14c6a3535b866d5b50
1	checkpoint_final.pth	True	246077775	194f1e4e89f39c44e7dafb7710b599469a3edc62bc4dcda8fed624b90803dd6d
2	checkpoint_best.pth	True	246061939	699bc189cd212d12771283904c4914cbb9401cec98bdfa867e4d53359247b3a0
2	checkpoint_final.pth	True	246077839	033fbc0d6dffa10d722cc406e311bc1027d261ad8a463d5af1ba4fd2f77545b2
3	checkpoint_best.pth	True	246075635	05ef846fb31f37bf576203230b8122e5c4fe38816014a10e77cf189a2c92dd53
3	checkpoint_final.pth	True	246077839	3ab9ce8a5353cbd03e66e94ee76bec9215326905db1f58138d1514d4f45ffc62
4	checkpoint_best.pth	True	246059763	1b99ffafd1c9d7178fde19b519632ba35ce35f5f75f8029673794a43f5551e24
4	checkpoint_final.pth	True	246077199	87e4fdc7b621cd1219d7b52f38bb648a6407173fa39edb6c72025a9ea68a5253
