fold	case	role
0	HCCMRIATLAS_0001	train
0	HCCMRIATLAS_0002	train
0	HCCMRIATLAS_0003	train
0	HCCMRIATLAS_0004	train
0	HCCMRIATLAS_0005	train
0	HCCMRIATLAS_0006	train
0	HCCMRIATLAS_0008	train
0	HCCMRIATLAS_0009	train
0	HCCMRIATLAS_0010	train
0	HCCMRIATLAS_0011	train
0	HCCMRIATLAS_0012	train
0	HCCMRIATLAS_0013	train
0	HCCMRIATLAS_0014	train
0	HCCMRIATLAS_0015	train
0	HCCMRIATLAS_0016	train
0	HCCMRIATLAS_0017	train
0	HCCMRIATLAS_0018	train
0	HCCMRIATLAS_0019	train
0	HCCMRIATLAS_0020	train
0	HCCMRIATLAS_0021	train
0	HCCMRIATLAS_0024	train
0	HCCMRIATLAS_0025	train
0	HCCMRIATLAS_0026	train
0	HCCMRIATLAS_0027	train
0	HCCMRIATLAS_0028	train
0	HCCMRIATLAS_0029	train
0	HCCMRIATLAS_0030	train
0	HCCMRIATLAS_0032	train
0	HCCMRIATLAS_0034	train
0	HCCMRIATLAS_0035	train
0	HCCMRIATLAS_0037	train
0	HCCMRIATLAS_0038	train
0	HCCMRIATLAS_0039	train
0	HCCMRIATLAS_0040	train
0	HCCMRIATLAS_0041	train
0	HCCMRIATLAS_0042	train
0	HCCMRIATLAS_0044	train
0	HCCMRIATLAS_0047	train
0	HCCMRIATLAS_0049	train
0	HCCMRIATLAS_0050	train
0	HCCMRIATLAS_0052	train
0	HCCMRIATLAS_0053	train
0	HCCMRIATLAS_0055	train
0	HCCMRIATLAS_0056	train
0	HCCMRIATLAS_0057	train
0	HCCMRIATLAS_0058	train
0	HCCMRIATLAS_0059	train
0	HCCMRIATLAS_0060	train
0	HCCMRIATLAS_0007	validation
0	HCCMRIATLAS_0022	validation
0	HCCMRIATLAS_0023	validation
0	HCCMRIATLAS_0031	validation
0	HCCMRIATLAS_0033	validation
0	HCCMRIATLAS_0036	validation
0	HCCMRIATLAS_0043	validation
0	HCCMRIATLAS_0045	validation
0	HCCMRIATLAS_0046	validation
0	HCCMRIATLAS_0048	validation
0	HCCMRIATLAS_0051	validation
0	HCCMRIATLAS_0054	validation
1	HCCMRIATLAS_0001	train
1	HCCMRIATLAS_0002	train
1	HCCMRIATLAS_0004	train
1	HCCMRIATLAS_0005	train
1	HCCMRIATLAS_0006	train
1	HCCMRIATLAS_0007	train
1	HCCMRIATLAS_0008	train
1	HCCMRIATLAS_0010	train
1	HCCMRIATLAS_0011	train
1	HCCMRIATLAS_0012	train
1	HCCMRIATLAS_0014	train
1	HCCMRIATLAS_0015	train
1	HCCMRIATLAS_0016	train
1	HCCMRIATLAS_0017	train
1	HCCMRIATLAS_0018	train
1	HCCMRIATLAS_0019	train
1	HCCMRIATLAS_0022	train
1	HCCMRIATLAS_0023	train
1	HCCMRIATLAS_0024	train
1	HCCMRIATLAS_0028	train
1	HCCMRIATLAS_0029	train
1	HCCMRIATLAS_0030	train
1	HCCMRIATLAS_0031	train
1	HCCMRIATLAS_0032	train
1	HCCMRIATLAS_0033	train
1	HCCMRIATLAS_0034	train
1	HCCMRIATLAS_0035	train
1	HCCMRIATLAS_0036	train
1	HCCMRIATLAS_0037	train
1	HCCMRIATLAS_0038	train
1	HCCMRIATLAS_0039	train
1	HCCMRIATLAS_0042	train
1	HCCMRIATLAS_0043	train
1	HCCMRIATLAS_0045	train
1	HCCMRIATLAS_0046	train
1	HCCMRIATLAS_0047	train
1	HCCMRIATLAS_0048	train
1	HCCMRIATLAS_0050	train
1	HCCMRIATLAS_0051	train
1	HCCMRIATLAS_0052	train
1	HCCMRIATLAS_0053	train
1	HCCMRIATLAS_0054	train
1	HCCMRIATLAS_0055	train
1	HCCMRIATLAS_0056	train
1	HCCMRIATLAS_0057	train
1	HCCMRIATLAS_0058	train
1	HCCMRIATLAS_0059	train
1	HCCMRIATLAS_0060	train
1	HCCMRIATLAS_0003	validation
1	HCCMRIATLAS_0009	validation
