phase	analysis	group	n	detected	detection_rate	detection_CI_low	detection_CI_high	mean_Dice	median_Dice
arterial	size20	All HCC <20 mm	18	7	0.3888888888888889	0.2030524657216362	0.613809583977621	0.201989830553975	0.0
arterial	size20	At least one HCC >=20 mm	41	27	0.6585365853658537	0.5054983651982969	0.7844119174261515	0.4281843004390759	0.5230412967966036
arterial	multiplicity	Multifocal	22	15	0.6818181818181818	0.47318597741042745	0.8363940681864375	0.390916837653849	0.45864088643028733
arterial	multiplicity	Single HCC	37	19	0.5135135135135135	0.358948966656188	0.6655359569698336	0.340302779448351	0.0073284477015323
portal_venous	size20	All HCC <20 mm	17	2	0.11764705882352941	0.03287977376379267	0.3433635059488588	0.0049366673885640295	0.0
portal_venous	size20	At least one HCC >=20 mm	40	14	0.35	0.2213452887317629	0.5049411916274231	0.17841472533842637	0.0
portal_venous	multiplicity	Multifocal	21	9	0.42857142857142855	0.2446996892537596	0.6345344563069328	0.16785769617386903	0.0
portal_venous	multiplicity	Single HCC	36	7	0.19444444444444445	0.09753095418928728	0.3502804299517739	0.10265279831920539	0.0
delayed	size20	All HCC <20 mm	16	2	0.125	0.03497748774324047	0.36022827265758695	0.05002643456852471	0.0
delayed	size20	At least one HCC >=20 mm	40	14	0.35	0.2213452887317629	0.5049411916274231	0.24249785151244577	0.0
delayed	multiplicity	Multifocal	21	9	0.42857142857142855	0.2446996892537596	0.6345344563069328	0.28182864835318117	0.0
delayed	multiplicity	Single HCC	35	7	0.2	0.10042446473798625	0.3589161306566562	0.13091243994792637	0.0
native	size20	All HCC <20 mm	12	1	0.08333333333333333	0.014865094404917095	0.35387991114111694	0.000394385220710625	0.0
native	size20	At least one HCC >=20 mm	27	8	0.2962962962962963	0.1585304046977976	0.4848068296414814	0.11108564448597548	0.0
native	multiplicity	Multifocal	10	5	0.5	0.236593090512564	0.7634069094874361	0.1868786579238949	0.0172117039586919
native	multiplicity	Single HCC	29	4	0.13793103448275862	0.05497439964111964	0.30558993720352023	0.03914684291485919	0.0
