phase	method_greedy	threshold	n_cases	TP_greedy	FP_greedy	FN_greedy	precision_greedy	precision_CI_low_greedy	precision_CI_high_greedy	recall_greedy	recall_CI_low_greedy	recall_CI_high_greedy	F1_greedy	FP_per_case_greedy	method_hungarian	TP_hungarian	FP_hungarian	FN_hungarian	precision_hungarian	precision_CI_low_hungarian	precision_CI_high_hungarian	recall_hungarian	recall_CI_low_hungarian	recall_CI_high_hungarian	F1_hungarian	FP_per_case_hungarian	delta_TP	delta_precision	delta_recall
arterial	greedy	any_overlap	59	38	38	51	0.5	0.4074074074074074	0.6184367167919798	0.42696629213483145	0.3191489361702128	0.5416666666666666	0.46060606060606063	0.6440677966101694	hungarian	38	38	51	0.5	0.4074074074074074	0.6184367167919798	0.42696629213483145	0.3191489361702128	0.5416666666666666	0.46060606060606063	0.6440677966101694	0	0.0	0.0
arterial	greedy	iou_0.01	59	37	39	52	0.4868421052631579	0.3950617283950617	0.6029411764705882	0.4157303370786517	0.30849018003273326	0.5301204819277109	0.44848484848484854	0.6610169491525424	hungarian	37	39	52	0.4868421052631579	0.3950617283950617	0.6029411764705882	0.4157303370786517	0.30849018003273326	0.5301204819277109	0.44848484848484854	0.6610169491525424	0	0.0	0.0
arterial	greedy	iou_0.05	59	36	40	53	0.47368421052631576	0.3804347826086957	0.5901639344262295	0.4044943820224719	0.2980769230769231	0.5185185185185185	0.43636363636363634	0.6779661016949152	hungarian	36	40	53	0.47368421052631576	0.3804347826086957	0.5901639344262295	0.4044943820224719	0.2980769230769231	0.5185185185185185	0.43636363636363634	0.6779661016949152	0	0.0	0.0
arterial	greedy	iou_0.10	59	35	41	54	0.4605263157894737	0.3684210526315789	0.5737780813600485	0.39325842696629215	0.2872340425531915	0.5060240963855421	0.42424242424242425	0.6949152542372882	hungarian	35	41	54	0.4605263157894737	0.3684210526315789	0.5737780813600485	0.39325842696629215	0.2872340425531915	0.5060240963855421	0.42424242424242425	0.6949152542372882	0	0.0	0.0
portal_venous	greedy	any_overlap	57	18	10	67	0.6428571428571429	0.42857142857142855	0.875	0.21176470588235294	0.125	0.3023332313341492	0.3185840707964602	0.17543859649122806	hungarian	18	10	67	0.6428571428571429	0.42857142857142855	0.875	0.21176470588235294	0.125	0.3023332313341492	0.3185840707964602	0.17543859649122806	0	0.0	0.0
portal_venous	greedy	iou_0.01	57	15	13	70	0.5357142857142857	0.3333333333333333	0.76	0.17647058823529413	0.0967741935483871	0.2650663880009835	0.2654867256637168	0.22807017543859648	hungarian	15	13	70	0.5357142857142857	0.3333333333333333	0.76	0.17647058823529413	0.0967741935483871	0.2650663880009835	0.2654867256637168	0.22807017543859648	0	0.0	0.0
portal_venous	greedy	iou_0.05	57	15	13	70	0.5357142857142857	0.3333333333333333	0.76	0.17647058823529413	0.0967741935483871	0.2650663880009835	0.2654867256637168	0.22807017543859648	hungarian	15	13	70	0.5357142857142857	0.3333333333333333	0.76	0.17647058823529413	0.0967741935483871	0.2650663880009835	0.2654867256637168	0.22807017543859648	0	0.0	0.0
portal_venous	greedy	iou_0.10	57	12	16	73	0.42857142857142855	0.23076923076923078	0.6538461538461539	0.1411764705882353	0.06593406593406594	0.23076923076923078	0.21238938053097345	0.2807017543859649	hungarian	12	16	73	0.42857142857142855	0.23076923076923078	0.6538461538461539	0.1411764705882353	0.06593406593406594	0.23076923076923078	0.21238938053097345	0.2807017543859649	0	0.0	0.0
delayed	greedy	any_overlap	56	18	8	69	0.6923076923076923	0.5	0.8823529411764706	0.20689655172413793	0.125	0.2976190476190476	0.3185840707964602	0.14285714285714285	hungarian	18	8	69	0.6923076923076923	0.5	0.8823529411764706	0.20689655172413793	0.125	0.2976190476190476	0.3185840707964602	0.14285714285714285	0	0.0	0.0
delayed	greedy	iou_0.01	56	18	8	69	0.6923076923076923	0.5	0.8823529411764706	0.20689655172413793	0.125	0.2976190476190476	0.3185840707964602	0.14285714285714285	hungarian	18	8	69	0.6923076923076923	0.5	0.8823529411764706	0.20689655172413793	0.125	0.2976190476190476	0.3185840707964602	0.14285714285714285	0	0.0	0.0
